year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1970,alabama,12849,642450,126872.065,50605.76,0.23,0.093,0.038,0.015,0.567,0.058,0.762,285343.403,271948.942,-2075.353,51908.417,61558.046,0.604,0.396,NA,NA,0.2,0.739,0.259,0,0.231,3.274,48.391,458.257,0.002,0.001,0,0,0.002,0,0.002,0.002,0.005
1970,alaska,1304,65200,175463.027,54593.226,0.231,0.094,0.038,0.015,0.574,0.046,0.767,282423.641,402543.959,-6989.184,88618.156,71005.636,0.395,0.605,NA,NA,0.35,0.829,0.034,0,0.113,3.491,39.294,2328.111,0.004,0.002,0.001,0,0.006,0.001,0.008,0.003,0.004
1970,arizona,9387,469350,184476.346,76053.953,0.219,0.089,0.036,0.015,0.546,0.067,0.744,350631.037,394107.283,0,64728.853,77361.104,0.602,0.398,NA,NA,0.341,0.932,0.029,0.005,0.187,3.273,46.338,2200.855,0.005,0.002,0.001,0,0.005,0.001,0.007,0.004,0.006
1970,arkansas,6234,311700,116026.636,45938.417,0.225,0.091,0.037,0.015,0.56,0.054,0.754,225544.556,250709.233,-2046.965,44221.582,53366.385,0.569,0.431,NA,NA,0.195,0.827,0.172,0,0.222,3.106,49.583,678.647,0.003,0.001,0.001,0,0.003,0,0.003,0.002,0.006
1970,california,122418,6120900,238484.222,89821.405,0.229,0.093,0.037,0.015,0.563,0.051,0.764,486802.079,518319.341,-2618.465,73829.21,97663.472,0.516,0.484,NA,NA,0.372,0.902,0.067,0.002,0.225,2.986,46.095,1760.906,0.002,0.001,0,0,0.003,0,0.003,0.001,0.003
1970,colorado,9972,498600,179318.692,81996.13,0.213,0.086,0.035,0.014,0.529,0.072,0.726,301180.636,377266.791,-3700.437,68742.786,82367.725,0.593,0.407,NA,NA,0.383,0.955,0.035,0.001,0.209,3.105,45.239,1272.366,0.003,0.001,0,0,0.003,0.001,0.004,0.002,0.005
1970,connecticut,16521,826050,322835.159,129363.132,0.225,0.091,0.037,0.015,0.556,0.064,0.766,902034.218,704614.299,5702.298,86321.379,143536.587,0.577,0.423,NA,NA,0.301,0.942,0.054,0,0.196,3.185,47.435,11437.854,0.006,0.003,0.001,0,0.015,0.002,0.012,0.005,0.013
1970,district of columbia,5045,252250,188380.628,33426.636,0.282,0.114,0.046,0.019,0.682,0.015,0.85,491518.9,420191.374,-7579.282,71719.926,48766.031,0.255,0.745,NA,NA,0.328,0.358,0.632,0,0.381,2.726,45.59,9064.867,0.01,0.004,0.002,0.001,0.016,0.001,0.019,0.008,0.007
1970,florida,37291,1864550,216221.375,88147.492,0.221,0.089,0.036,0.015,0.546,0.07,0.742,411520.252,455514.157,0,61508.388,80854.657,0.638,0.362,NA,NA,0.28,0.865,0.132,0,0.225,2.956,50.269,622.026,0.001,0,0,0,0.001,0,0.001,0.001,0.002
1970,georgia,15472,773600,155952.003,53520.42,0.243,0.098,0.04,0.016,0.589,0.047,0.788,372599.415,336792.695,-3571.304,64670.02,72632.717,0.542,0.458,NA,NA,0.266,0.754,0.244,0,0.227,3.284,45.526,2147.194,0.005,0.002,0.001,0,0.006,0.001,0.007,0.004,0.002
1970,hawaii,3841,192050,263747.758,87950.793,0.222,0.09,0.036,0.015,0.55,0.04,0.752,413817.121,575761.931,-4063.635,82619.094,112930.7,0.437,0.563,NA,NA,0.31,0.42,0.01,0,0.149,3.611,43.93,3625.746,0.004,0.001,0.001,0,0.006,0.001,0.007,0.003,0.002
